"CC","BGC_type","odds_ratio","log2_or","log2_or_capped","p_value","q_value","star","bgc_order"
"CC8","Opine-like-metallophore",0.961166179599264,-0.0571422094063074,-0.0571422094063074,1,1,"",0.0115052957717226
"CC8","RiPP-like",0.261269722622707,-1.93638814800583,-1.93638814800583,0.246404147911136,1,"",-0.551928121401372
"CC8","RRE-containing",0,-5,-5,0.613570012231881,1,"",-2.95607323098271
"CC8","T3PKS",1.1889368725923,0.249672116247737,0.249672116247737,0.676242888737393,1,"",0.0454889772516899
"CC8","T3PKS,TPS",0,-5,-5,0.249851153448695,1,"",-0.409926263976246
"CC8","TPS",1.80959821267299,0.85566940950166,0.85566940950166,0.104858236518155,1,"",-0.00629516784012776
"CC8","TPS, T3PKS",1.36132026491846,0.445006515963831,0.445006515963831,0.659498363570726,1,"",0.118823214323302
"CC97","Beta-lac",0,-5,-5,1,1,"",-5
"CC97","Cyc-lac-autoinducer",2.0763619343758,1.05405794437838,1.05405794437838,0.0609503010631834,0.962373208134285,"",-0.0293348020522612
"CC97","Lanpeptide-ci",2.34004519276625,1.22653639252243,1.22653639252243,0.109768647477287,1,"",-1.38931180894029
"CC97","LAP",0,-5,-5,1,1,"",-5
"CC97","Lassopeptide",0,-5,-5,1,1,"",-5
"CC97","NI-siderophore",0.909166800124537,-0.137383092397029,-0.137383092397029,0.72794549836555,1,"",-0.0327844923461394
"CC97","NRPS",1.10467501343689,0.143622002681765,0.143622002681765,0.752217562183527,1,"",0.0311204283071584
"CC97","NRPS-like",0,-5,-5,1,1,"",-5
"CC97","Opine-like-metallophore",1.19965476181579,0.262619284935862,0.262619284935862,0.519370433527957,1,"",0.0115052957717226
"CC97","RiPP-like",0.217240230567909,-2.20263679530748,-2.20263679530748,0.113361502017419,1,"",-0.551928121401372
"CC97","RRE-containing",0,-5,-5,0.621230719195472,1,"",-2.95607323098271
"CC97","T3PKS",0.43852225352544,-1.18927803845186,-1.18927803845186,0.12319288029672,1,"",0.0454889772516899
"CC97","T3PKS,TPS",4.17926465480084,2.06324912120617,2.06324912120617,0.00506722897564312,0.190021086586617,"",-0.409926263976246
"CC97","TPS",0.398685404947141,-1.32667730268427,-1.32667730268427,0.0912269411950807,1,"",-0.00629516784012776
"CC97","TPS, T3PKS",1.82991804950198,0.871779040736407,0.871779040736407,0.412224358981911,1,"",0.118823214323302
"Unknown","Beta-lac",Inf,5,5,0.0921908893709328,1,"",-5
"Unknown","Cyc-lac-autoinducer",0.349669904833979,-1.51593446246386,-1.51593446246386,0.156488719128744,1,"",-0.0293348020522612
"Unknown","Lanpeptide-ci",0.33195298881165,-1.59094915334711,-1.59094915334711,0.513783331908622,1,"",-1.38931180894029
"Unknown","LAP",0,-5,-5,1,1,"",-5
"Unknown","Lassopeptide",0,-5,-5,1,1,"",-5
"Unknown","NI-siderophore",0.921167068403824,-0.118465258984268,-0.118465258984268,0.809671954031106,1,"",-0.0327844923461394
"Unknown","NRPS",1.00162350606741,0.00234032490010051,0.00234032490010051,1,1,"",0.0311204283071584
"Unknown","NRPS-like",62.8195588488855,5.97314190656938,5,3.3775670184209e-06,0.000506635052763135,"*",-5
"Unknown","Opine-like-metallophore",0.758944520753833,-0.397933667163243,-0.397933667163243,0.61341372991931,1,"",0.0115052957717226
"Unknown","RiPP-like",1.06767793572659,0.094476524738678,0.094476524738678,0.78530282700555,1,"",-0.551928121401372
"Unknown","RRE-containing",3.35885066416451,1.74796765420337,1.74796765420337,0.0904349930477377,1,"",-2.95607323098271
"Unknown","T3PKS",1.23905498744118,0.309240213586991,0.309240213586991,0.548596919095298,1,"",0.0454889772516899
"Unknown","T3PKS,TPS",0.441302781871678,-1.18015925312564,-1.18015925312564,0.714548665875721,1,"",-0.409926263976246
"Unknown","TPS",1.27895341749502,0.354963718814714,0.354963718814714,0.444784549903764,1,"",-0.00629516784012776
"Unknown","TPS, T3PKS",0,-5,-5,0.398650572168954,1,"",0.118823214323302
"UD","Beta-lac",0,-5,-5,1,1,"",-5
"UD","Cyc-lac-autoinducer",0.962534970792931,-0.0550891372854346,-0.0550891372854346,1,1,"",-0.0293348020522612
"UD","Lanpeptide-ci",1.24614455064171,0.317471428232063,0.317471428232063,0.564720388792952,1,"",-1.38931180894029
"UD","LAP",0,-5,-5,1,1,"",-5
"UD","Lassopeptide",0,-5,-5,1,1,"",-5
"UD","NI-siderophore",1.20921582008238,0.274071758875726,0.274071758875726,0.375867269592489,1,"",-0.0327844923461394
"UD","NRPS",0.877773397866071,-0.188079546891049,-0.188079546891049,0.7641597147263,1,"",0.0311204283071584
"UD","NRPS-like",0,-5,-5,1,1,"",-5
"UD","Opine-like-metallophore",0.952819818964823,-0.0697246728430869,-0.0697246728430869,1,1,"",0.0115052957717226
"UD","RiPP-like",0.863914081764377,-0.211040254693059,-0.211040254693059,1,1,"",-0.551928121401372
"UD","RRE-containing",0.728395057040032,-0.457206962808785,-0.457206962808785,1,1,"",-2.95607323098271
"UD","T3PKS",1.27482560914467,0.350299905884283,0.350299905884283,0.46156257712043,1,"",0.0454889772516899
"UD","T3PKS,TPS",0.359408493228875,-1.47630359312242,-1.47630359312242,0.500752374245091,1,"",-0.409926263976246
"UD","TPS",1.01951775795273,0.0278869044248564,0.0278869044248564,1,1,"",-0.00629516784012776
"UD","TPS, T3PKS",0.467966609794461,-1.09552250012671,-1.09552250012671,0.710234151180475,1,"",0.118823214323302
